W/C,W/B,A/C,Cement,Silica fume,Fly ash,Slag,Metakaolin,Filler,Superplasticizer,SAP,SAP size,SAP water uptake,Time,Shrinkage/Swelling
0.435,0.297,3.74,415.9,0,0,0,10.5,36.2,1.46,0,0,0,1,-34.1
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,586,20,1,-33.4
0.3,0.3,3.6,497,0,0,0,0,0,1.45,0,0,0,1,-33
0.4,0.4,3.92,438,0,0,0,0,0,0.6,0,0,0,1,-32.2
0.31,0.282,3.56,495,10.1,0,0,0,0,0.93,0,0,0,1,-32.2
0.386,0.27,3.59,435,0,0,43,0,0,2,0,0,0,1,-32.1
0.32,0.216,4.12,400,0,0,0,0,48,1.19,0,0,0,1,-31.5
0.64,0.32,6.22,263,0,0,100,0,0,1.8,0,0,0,1,-31.2
1.6,0.32,0,316.2,0,0,400,0,0,0,0,0,0,1,-31.1
0.32,0.38,3.2,541,0,0,0,0,0,0.8,0.47,175,13,1,-31
0.31,0.282,3.56,495,10.1,0,0,0,0,0.93,0,0,0,1,-30.9
0.25,0.227,3.22,545,10.09,0,0,0,0,1.98,0,0,0,1,-30.1
0.396,0.35,3.75,447,11.2,0,0,0,0,1.5,0,0,0,1,-29.7
0.4,0.4,3.92,438,0,0,0,0,0,0.6,0,0,0,1,-29.5
0.43,0.398,3.83,413,8.1,0,0,0,35.79,2.66,0,0,0,1,-28.8
0.3,0.3,0,1619,0,0,0,0,0,0.42,0.38,40,21,1,-28.3
0.37,0.348,3.94,470,6.38,0,0,0,0,2.08,0,0,0,1,-27.8
0.4,0.4,1.54,920,0,0,0,0,0,0.39,0,0,0,1,-27.7
0.33,0.33,3.39,506,0,0,0,0,0,1.5,0,0,0,1,-27.2
0.43,0.43,2.51,685,0,0,0,0,0,1,0,0,0,1,-26.8
0.429,0.3,3.679,408,0,42.9,0,0,0,1.7,0,0,0,1,-26.6
0.3,0.3,2.679,583,0,0,0,0,0,1.9,0,0,0,1,-26.4
0.5,0.5,5.09,350,0,0,0,0,0,0.3,0,0,0,1,-26
0.37,0.336,4.06,440,10,0,0,0,0,1.02,0,0,0,1,-25.8
0.492,0.47,3.15,493,0,0,0,0,5.26,0,0,0,0,1,-25.5
0.33,0.33,3.39,506,0,0,0,0,0,0,0,0,0,1,-25
0.45,0.428,4.3,400,0,5,0,0,0,0.7,0,0,0,1,-25
0.5,0.5,4,376,0,0,0,0,0,0,0,0,0,1,-24.9
0.3,0.3,0,1619,0,0,0,0,0,0.42,0.257,40,21,1,-24.9
0.43,0.43,4.33,383,0,0,0,0,42.5,3.58,0,0,0,1,-24.4
0.37,0.336,4.06,440,10,0,0,0,0,1.02,0,0,0,1,-23.5
0.33,0.33,3.39,506,0,0,0,0,0,1.5,0,0,0,1,-22.2
0.3,0.25,0,1440,20,0,0,0,0,0.8,0.1,200,35,1,-22.2
0.5,0.5,5.09,350,0,0,0,0,0,0.3,0,0,0,1,-21.7
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.6,95,15,1,-21.4
0.65,0.43,5.86,283,0,0,0,0,67.8,1.23,0,0,0,1,-20.6
0.33,0.33,3.45,512,0,0,0,0,0,0.65,0.49,225,13,1,-20
0.25,0.25,2.82,582,0,0,0,0,0,1.4,0.35,200,13,1,-19.6
0.6,0.6,6.43,292,0,0,0,0,0,0.1,0,0,0,1,-19.4
0.3,0.274,3.28,530,9.62,0,0,0,0,1.43,0,0,0,1,-19.2
0.36,0.36,3.5,500,0,0,0,0,0,0.7,0,0,0,1,-19.2
0.6,0.529,5.63,300,0,30,0,0,0,0.7,0,0,0,1,-18.8
0.457,0.32,4.47,368,0,0,42.6,0,0,1.8,0,0,0,1,-18.2
1.6,0.32,0,316.2,0,0,300,0,100,0,0,0,0,1,-18
